Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2000,2000,ha,1602,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2001,2001,ha,1421,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2002,2002,ha,1381,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2003,2003,ha,1401,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2004,2004,ha,1367,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2005,2005,ha,1357,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2006,2006,ha,1315,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2007,2007,ha,1293,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2008,2008,ha,1273,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2009,2009,ha,1293,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2010,2010,ha,1262,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2011,2011,ha,1255,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2012,2012,ha,1194,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2013,2013,ha,1059,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2014,2014,ha,1134,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2015,2015,ha,1124,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2016,2016,ha,1201,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2017,2017,ha,1242,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2018,2018,ha,1220,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2019,2019,ha,1180,A,Official figure
QCL,Crops and livestock products,250,France,5312,Area harvested,1371,"Almonds, in shell",2020,2020,ha,1230,A,Official figure
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2000,2000,hg/ha,12640,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2001,2001,hg/ha,11358,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2002,2002,hg/ha,16104,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2003,2003,hg/ha,13619,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2004,2004,hg/ha,16511,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2005,2005,hg/ha,14886,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2006,2006,hg/ha,13536,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2007,2007,hg/ha,12305,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2008,2008,hg/ha,8185,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2009,2009,hg/ha,8507,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2010,2010,hg/ha,5650,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2011,2011,hg/ha,5060,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2012,2012,hg/ha,8275,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2013,2013,hg/ha,5949,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2014,2014,hg/ha,9409,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2015,2015,hg/ha,6940,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2016,2016,hg/ha,9484,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2017,2017,hg/ha,8680,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2018,2018,hg/ha,9262,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2019,2019,hg/ha,9576,E,Estimated value
QCL,Crops and livestock products,250,France,5419,Yield,1371,"Almonds, in shell",2020,2020,hg/ha,9512,E,Estimated value
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2000,2000,tonnes,2025,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2001,2001,tonnes,1614,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2002,2002,tonnes,2224,A,Official figure
QCL,Crops and livestock products,250,France,5510,Production,1371,"Almonds, in shell",2003,2003,tonnes,1908,A,Official figure
